root_symbol,expiration_date,strike,put_call,undly_symbol,start_date,end_date,implied_volatility_1545,trade_volume,open_interest,implied_underlying_price_1545,active_underlying_price_1545
SPXW,1/3/2014,1640,p,^SPX,11/27/2013,1/3/2014,0.5227,83,4169,1845.72,1845.72
SPXW,1/3/2014,1645,c,^SPX,11/27/2013,1/3/2014,0.5808,0,0,1845.72,1845.72
SPXW,1/3/2014,1645,p,^SPX,11/27/2013,1/3/2014,0.5107,19,404,1845.72,1845.72
SPXW,1/3/2014,1650,c,^SPX,11/27/2013,1/3/2014,0.5675,25,25,1845.72,1845.72
SPXW,1/3/2014,1650,p,^SPX,11/27/2013,1/3/2014,0.4987,1429,5452,1845.72,1845.72
SPXW,1/3/2014,1655,c,^SPX,11/27/2013,1/3/2014,0.5538,0,0,1845.72,1845.72
SPXW,1/3/2014,1655,p,^SPX,11/27/2013,1/3/2014,0.4944,67,1335,1845.72,1845.72
SPXW,1/3/2014,1660,c,^SPX,11/27/2013,1/3/2014,0.5405,0,30,1845.72,1845.72
SPXW,1/3/2014,1660,p,^SPX,11/27/2013,1/3/2014,0.4747,119,1472,1845.72,1845.72
SPXW,1/3/2014,1665,c,^SPX,11/27/2013,1/3/2014,0.5272,0,0,1845.72,1845.72
SPXW,1/3/2014,1665,p,^SPX,11/27/2013,1/3/2014,0.477,1934,4803,1845.72,1845.72
SPXW,1/3/2014,1670,c,^SPX,11/27/2013,1/3/2014,0.5142,0,0,1845.72,1845.72
SPXW,1/3/2014,1670,p,^SPX,11/27/2013,1/3/2014,0.458,87,1075,1845.72,1845.72
SPXW,1/3/2014,1675,c,^SPX,11/27/2013,1/3/2014,0.5009,0,30,1845.72,1845.72
SPXW,1/3/2014,1675,p,^SPX,11/27/2013,1/3/2014,0.446,314,2264,1845.72,1845.72
SPXW,1/3/2014,1680,c,^SPX,11/27/2013,1/3/2014,0.488,0,0,1845.72,1845.72
SPXW,1/3/2014,1680,p,^SPX,11/27/2013,1/3/2014,0.4464,4835,1525,1845.72,1845.72
SPXW,1/3/2014,1685,c,^SPX,11/27/2013,1/3/2014,0.4747,0,0,1845.72,1845.72
SPXW,1/3/2014,1685,p,^SPX,11/27/2013,1/3/2014,0.428,96,2517,1845.72,1845.72
SPXW,1/3/2014,1690,c,^SPX,11/27/2013,1/3/2014,0.4679,0,22,1845.72,1845.72
SPXW,1/3/2014,1690,p,^SPX,11/27/2013,1/3/2014,0.4214,704,796,1845.72,1845.72
SPXW,1/3/2014,1695,c,^SPX,11/27/2013,1/3/2014,0.4541,0,28,1845.72,1845.72
SPXW,1/3/2014,1695,p,^SPX,11/27/2013,1/3/2014,0.409,227,7063,1845.72,1845.72
SPXW,1/3/2014,1700,c,^SPX,11/27/2013,1/3/2014,0.4472,0,10,1845.72,1845.72
SPXW,1/3/2014,1700,p,^SPX,11/27/2013,1/3/2014,0.3966,1816,10209,1845.72,1845.72
SPXW,1/3/2014,1705,c,^SPX,11/27/2013,1/3/2014,0.4335,11,33,1845.72,1845.72
SPXW,1/3/2014,1705,p,^SPX,11/27/2013,1/3/2014,0.3842,4,1701,1845.72,1845.72
SPXW,1/3/2014,1710,c,^SPX,11/27/2013,1/3/2014,0.4199,0,13,1845.72,1845.72
SPXW,1/3/2014,1710,p,^SPX,11/27/2013,1/3/2014,0.3765,80,887,1845.72,1845.72
SPXW,1/3/2014,1715,c,^SPX,11/27/2013,1/3/2014,0.4002,0,15,1845.72,1845.72
SPXW,1/3/2014,1715,p,^SPX,11/27/2013,1/3/2014,0.3684,243,1396,1845.72,1845.72
SPXW,1/3/2014,1720,c,^SPX,11/27/2013,1/3/2014,0.3746,0,254,1845.72,1845.72
SPXW,1/3/2014,1720,p,^SPX,11/27/2013,1/3/2014,0.3557,55,2419,1845.72,1845.72
SPXW,1/3/2014,1725,c,^SPX,11/27/2013,1/3/2014,0.3786,0,35,1845.72,1845.72
SPXW,1/3/2014,1725,p,^SPX,11/27/2013,1/3/2014,0.343,54,4738,1845.72,1845.72
SPXW,1/3/2014,1730,c,^SPX,11/27/2013,1/3/2014,0.3649,0,35,1845.72,1845.72
SPXW,1/3/2014,1730,p,^SPX,11/27/2013,1/3/2014,0.3303,166,1254,1845.72,1845.72
SPXW,1/3/2014,1735,c,^SPX,11/27/2013,1/3/2014,0.3511,0,40,1845.72,1845.72
SPXW,1/3/2014,1735,p,^SPX,11/27/2013,1/3/2014,0.3213,209,6566,1845.72,1845.72
SPXW,1/3/2014,1740,c,^SPX,11/27/2013,1/3/2014,0.3374,0,302,1845.72,1845.72
SPXW,1/3/2014,1740,p,^SPX,11/27/2013,1/3/2014,0.3084,554,4209,1845.72,1845.72
SPXW,1/3/2014,1745,c,^SPX,11/27/2013,1/3/2014,0.3236,0,3121,1845.72,1845.72
SPXW,1/3/2014,1745,p,^SPX,11/27/2013,1/3/2014,0.2989,225,1216,1845.72,1845.72
SPXW,1/3/2014,1750,c,^SPX,11/27/2013,1/3/2014,0.3002,0,1017,1845.72,1845.72
SPXW,1/3/2014,1750,p,^SPX,11/27/2013,1/3/2014,0.2918,7832,7242,1845.72,1845.72
SPXW,1/3/2014,1755,c,^SPX,11/27/2013,1/3/2014,0.3043,0,16,1845.72,1845.72
SPXW,1/3/2014,1755,p,^SPX,11/27/2013,1/3/2014,0.2785,279,1299,1845.72,1845.72
SPXW,1/3/2014,1760,c,^SPX,11/27/2013,1/3/2014,0.2732,0,1400,1845.72,1845.72
SPXW,1/3/2014,1760,p,^SPX,11/27/2013,1/3/2014,0.2624,196,4128,1845.72,1845.72
SPXW,1/3/2014,1765,c,^SPX,11/27/2013,1/3/2014,0.2757,0,15,1845.72,1845.72
SPXW,1/3/2014,1765,p,^SPX,11/27/2013,1/3/2014,0.2519,298,2015,1845.72,1845.72
SPXW,1/3/2014,1770,c,^SPX,11/27/2013,1/3/2014,0.2613,1,40,1845.72,1845.72
SPXW,1/3/2014,1770,p,^SPX,11/27/2013,1/3/2014,0.2406,712,4858,1845.72,1845.72
SPXW,1/3/2014,1775,c,^SPX,11/27/2013,1/3/2014,0.2433,5,387,1845.72,1845.72
SPXW,1/3/2014,1775,p,^SPX,11/27/2013,1/3/2014,0.2296,642,4637,1845.72,1845.72
SPXW,1/3/2014,1780,c,^SPX,11/27/2013,1/3/2014,0.2256,2,6599,1845.72,1845.72
SPXW,1/3/2014,1780,p,^SPX,11/27/2013,1/3/2014,0.2196,5367,3934,1845.72,1845.72
SPXW,1/3/2014,1785,c,^SPX,11/27/2013,1/3/2014,0.2208,0,223,1845.72,1845.72
SPXW,1/3/2014,1785,p,^SPX,11/27/2013,1/3/2014,0.2037,274,10871,1845.72,1845.72
SPXW,1/3/2014,1790,c,^SPX,11/27/2013,1/3/2014,0.203,5,262,1845.72,1845.72
SPXW,1/3/2014,1790,p,^SPX,11/27/2013,1/3/2014,0.1914,356,2422,1845.72,1845.72
SPXW,1/3/2014,1795,c,^SPX,11/27/2013,1/3/2014,0.1881,11,291,1845.72,1845.72
SPXW,1/3/2014,1795,p,^SPX,11/27/2013,1/3/2014,0.1789,1922,1753,1845.72,1845.72
SPXW,1/3/2014,1800,c,^SPX,11/27/2013,1/3/2014,0.1781,87,5333,1845.72,1845.72
SPXW,1/3/2014,1800,p,^SPX,11/27/2013,1/3/2014,0.1672,1337,11422,1845.72,1845.72
SPXW,1/3/2014,1805,c,^SPX,11/27/2013,1/3/2014,0.1625,6,399,1845.72,1845.72
SPXW,1/3/2014,1805,p,^SPX,11/27/2013,1/3/2014,0.1576,2235,2906,1845.72,1845.72
SPXW,1/3/2014,1810,c,^SPX,11/27/2013,1/3/2014,0.151,104,6353,1845.72,1845.72
SPXW,1/3/2014,1810,p,^SPX,11/27/2013,1/3/2014,0.1466,3069,2255,1845.72,1845.72
SPXW,1/3/2014,1815,c,^SPX,11/27/2013,1/3/2014,0.1419,4,2941,1845.72,1845.72
SPXW,1/3/2014,1815,p,^SPX,11/27/2013,1/3/2014,0.1364,3832,13904,1845.72,1845.72
SPXW,1/3/2014,1820,c,^SPX,11/27/2013,1/3/2014,0.1352,8,1473,1845.72,1845.72
SPXW,1/3/2014,1820,p,^SPX,11/27/2013,1/3/2014,0.1276,2067,4981,1845.72,1845.72
SPXW,1/3/2014,1825,c,^SPX,11/27/2013,1/3/2014,0.1216,4151,8221,1845.72,1845.72
SPXW,1/3/2014,1825,p,^SPX,11/27/2013,1/3/2014,0.1203,6362,7245,1845.72,1845.72
SPXW,1/3/2014,1830,c,^SPX,11/27/2013,1/3/2014,0.1157,5253,8043,1845.72,1845.72
SPXW,1/3/2014,1830,p,^SPX,11/27/2013,1/3/2014,0.1136,2800,4290,1845.72,1845.72
SPXW,1/3/2014,1835,c,^SPX,11/27/2013,1/3/2014,0.1157,251,3568,1845.72,1845.72
SPXW,1/3/2014,1835,p,^SPX,11/27/2013,1/3/2014,0.1091,2582,4022,1845.72,1845.72
SPXW,1/3/2014,1840,c,^SPX,11/27/2013,1/3/2014,0.1088,1013,13127,1845.72,1845.72
SPXW,1/3/2014,1840,p,^SPX,11/27/2013,1/3/2014,0.1061,5103,8471,1845.72,1845.72
SPXW,1/3/2014,1845,c,^SPX,11/27/2013,1/3/2014,0.1094,2425,4246,1845.72,1845.72
SPXW,1/3/2014,1845,p,^SPX,11/27/2013,1/3/2014,0.1076,817,5644,1845.72,1845.72
SPXW,1/3/2014,1850,c,^SPX,11/27/2013,1/3/2014,0.1087,6539,12125,1845.72,1845.72
SPXW,1/3/2014,1850,p,^SPX,11/27/2013,1/3/2014,0.1059,839,144,1845.72,1845.72
SPXW,1/3/2014,1855,c,^SPX,11/27/2013,1/3/2014,0.1073,3022,3394,1845.72,1845.72
SPXW,1/3/2014,1855,p,^SPX,11/27/2013,1/3/2014,0.1068,46,924,1845.72,1845.72
SPXW,1/3/2014,1860,c,^SPX,11/27/2013,1/3/2014,0.1104,22663,9284,1845.72,1845.72
SPXW,1/3/2014,1860,p,^SPX,11/27/2013,1/3/2014,0.1104,5,85,1845.72,1845.72
SPXW,1/3/2014,1865,c,^SPX,11/27/2013,1/3/2014,0.1128,19071,3202,1845.72,1845.72
SPXW,1/3/2014,1865,p,^SPX,11/27/2013,1/3/2014,0.1121,26,28,1845.72,1845.72
SPXW,1/3/2014,1870,c,^SPX,11/27/2013,1/3/2014,0.1162,3405,6493,1845.72,1845.72
SPXW,1/3/2014,1870,p,^SPX,11/27/2013,1/3/2014,0.1077,3,45,1845.72,1845.72
SPXW,1/3/2014,1875,c,^SPX,11/27/2013,1/3/2014,0.1198,29782,8632,1845.72,1845.72
SPXW,1/3/2014,1875,p,^SPX,11/27/2013,1/3/2014,0.1081,0,23,1845.72,1845.72
SPXW,1/3/2014,1880,c,^SPX,11/27/2013,1/3/2014,0.1236,3657,2351,1845.72,1845.72
SPXW,1/3/2014,1880,p,^SPX,11/27/2013,1/3/2014,0.1125,0,20,1845.72,1845.72
SPXW,1/3/2014,1885,c,^SPX,11/27/2013,1/3/2014,0.1294,14315,1111,1845.72,1845.72
SPXW,1/3/2014,1885,p,^SPX,11/27/2013,1/3/2014,0.103,0,0,1845.72,1845.72
SPXW,1/3/2014,1890,c,^SPX,11/27/2013,1/3/2014,0.1339,732,1430,1845.72,1845.72
SPXW,1/3/2014,1890,p,^SPX,11/27/2013,1/3/2014,0.0997,0,0,1845.72,1845.72
SPXW,1/3/2014,1895,c,^SPX,11/27/2013,1/3/2014,0.1376,1992,3502,1845.72,1845.72
SPXW,1/3/2014,1900,c,^SPX,11/27/2013,1/3/2014,0.1489,643,3735,1845.72,1845.72
SPXW,1/3/2014,1905,c,^SPX,11/27/2013,1/3/2014,0.1607,1144,1455,1845.72,1845.72
SPXW,1/3/2014,1910,c,^SPX,11/27/2013,1/3/2014,0.1627,744,6368,1845.72,1845.72
SPXW,1/3/2014,1915,c,^SPX,11/27/2013,1/3/2014,0.1674,43,6608,1845.72,1845.72
SPXW,1/3/2014,1920,c,^SPX,11/27/2013,1/3/2014,0.1777,65,1116,1845.72,1845.72
SPXW,1/3/2014,1925,c,^SPX,11/27/2013,1/3/2014,0.1879,162,2713,1845.72,1845.72
SPXW,1/3/2014,1930,c,^SPX,11/27/2013,1/3/2014,0.198,815,1656,1845.72,1845.72
SPXW,1/3/2014,1935,c,^SPX,11/27/2013,1/3/2014,0.2086,474,220,1845.72,1845.72
SPXW,1/3/2014,1940,c,^SPX,11/27/2013,1/3/2014,0.2187,1932,2752,1845.72,1845.72
SPXW,1/3/2014,1945,c,^SPX,11/27/2013,1/3/2014,0.219,1249,1189,1845.72,1845.72
SPXW,1/3/2014,1950,c,^SPX,11/27/2013,1/3/2014,0.2131,659,2675,1845.72,1845.72
SPXW,1/3/2014,1950,p,^SPX,11/27/2013,1/3/2014,0.2142,0,0,1845.72,1845.72
SPXW,1/3/2014,1960,c,^SPX,11/27/2013,1/3/2014,0.231,111,1881,1845.72,1845.72
SPXW,1/3/2014,1975,c,^SPX,11/27/2013,1/3/2014,0.2584,87,5709,1845.72,1845.72
SPXW,1/3/2014,2000,c,^SPX,11/27/2013,1/3/2014,0.3013,0,1508,1845.72,1845.72
SPXW,1/10/2014,1275,c,^SPX,12/5/2013,1/10/2014,0.9112,0,0,1845.19,1845.19
SPXW,1/10/2014,1275,p,^SPX,12/5/2013,1/10/2014,0.6808,0,1320,1845.19,1845.19
